function	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
2-ISOPROPYLMALATESYN-RXN	18835.020000000008	20796.480000000003	20925.100000000006	21287.8	22159.02	20572.9	18368.42	17459.25	17724.320000000003	17792.870000000006	19495.399999999994	17417.539999999994	20763.16	21265.209999999995	19403.13	20034.36	20102.76999999999	19787.33
2-MEBUCOA-FAD-RXN	158.45	124.77	136.28	95.25	56.73	79.47999999999998	135.69	161.24	357.96	224.73	143.17000000000004	154.99	198.28000000000003	128.08	163.32999999999996	333.41	198.0	156.92000000000004
2-METHYLCITRATE-DEHYDRATASE-RXN	674.16	784.7700000000002	715.09	708.8600000000001	627.6600000000002	834.84	742.9399999999998	767.9500000000003	646.7300000000001	639.7200000000001	824.36	907.17	677.24	666.7	752.26	783.2800000000002	645.63	772.5500000000002
2-METHYLCITRATE-SYNTHASE-RXN	1806.95	1630.87	1843.51	2214.96	2749.6600000000008	2451.2000000000007	1730.62	1625.6699999999994	1756.0700000000006	1891.04	2017.25	1871.82	1931.67	2195.53	1926.33	1853.61	1911.41	2082.41
2-NITROPROPANE-DIOXYGENASE-RXN	16868.82	16244.080000000002	19616.47	18583.870000000006	22699.05	19514.590000000004	15056.48	13833.729999999998	14789.44	15805.4	16340.219999999996	14645.900000000005	16604.91	18087.469999999994	15869.820000000003	16845.719999999998	17113.16	16733.58
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	10563.22	9159.76	11514.250000000002	11756.38	14706.87	11774.71	8398.14	7595.0	8536.900000000001	8855.859999999999	9706.239999999998	8349.66	9627.39	11573.429999999997	9357.250000000002	10224.4	10260.31	9973.22
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	12053.49	12724.18	13954.590000000002	13483.43	14788.41	13548.89	11788.680000000002	11324.2	11430.500000000002	11565.730000000005	12291.579999999998	11465.79	12590.16	13093.609999999995	12290.760000000002	12566.63	12411.02	12694.96
2-OXOBUTYRATE-SYNTHASE-RXN	587.8	691.44	518.24	1008.5	456.0	588.74	1089.2	838.9000000000002	743.82	679.8799999999999	890.76	1102.68	612.24	554.5	839.1800000000002	971.74	682.5	890.72
2-OXOGLUTARATE-SYNTHASE-RXN	11308.07	13594.500000000002	12493.45	11954.07	11671.9	11407.56	11376.8	11243.14	11376.39	10985.53	11998.43	11007.46	13400.37	12904.95	11999.42	12625.87	12657.080000000002	12210.3
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	3672.369999999999	4848.27	4754.91	4403.07	4291.05	4000.7100000000014	3499.88	3688.27	3680.26	3467.31	3950.299999999999	3140.11	4418.8	4145.530000000002	3858.94	4415.370000000001	4190.450000000002	4164.549999999998
2.1.1.100-RXN	7.5	20.5	7.0	7.0	21.0	20.5	10.5	9.0	3.5	19.5	8.0	5.5	10.5	9.0	11.5	11.5	11.0	15.5
2.1.1.103-RXN	12.0	15.0	24.0	18.0	30.0	16.0	22.0	18.0	12.0	20.0	32.0	9.0	18.0	18.0	18.0	27.0	30.0	22.0
2.1.1.113-RXN	31.33	43.33	32.67	24.8	33.6	23.2	23.53	47.93	17.13	25.93	35.73000000000001	24.2	33.53	15.73	14.27	18.07	31.13	34.0
2.1.1.130-RXN	4224.729999999999	5490.790000000001	5384.040000000001	4948.57	4902.11	4817.45	4282.38	4437.81	3981.470000000001	4129.69	4572.1100000000015	4275.47	4715.499999999999	4471.469999999998	4458.1799999999985	4910.41	4740.0700000000015	4698.35
