ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_26	-0.562	13.07	0.46950400804259	0.685010829769212	NotSig	0.441	0.659	0.541	0.535	0.372	1.022	0.109	0.064	1.221	0.208	0.431	0.271	0.031	1.792
ASV_148	-0.388	11.102	0.471989169292201	0.685010829769212	NotSig	0.108	0.147	0.026	0.104	0.067	0.189	0.232	0.032	0.126	0.069	0.124	0.104	0.251	0.208
ASV_24	0.334	13.346	0.480976687880121	0.691931375546841	NotSig	0.73	0.599	0.358	1.223	1.227	0.28	0.471	0.82	0.473	0.585	0.357	1.412	0.4	0.368
ASV_53	-0.399	12.417	0.488785475430688	0.69705059104898	NotSig	0.284	0.395	0.131	0.12	0.253	0.106	0.935	0.159	0.52	0.223	0.398	0.335	0.204	0.688
ASV_166	0.383	10.767	0.502499805727225	0.700063155825761	NotSig	0.112	0.087	0.262	0.208	0.015	0.076	0.051	0.064	0.11	0.069	0.133	0.072	0.031	0.104
ASV_74	0.257	11.795	0.502757565968495	0.700063155825761	NotSig	0.232	0.202	0.236	0.264	0.29	0.159	0.246	0.199	0.118	0.208	0.415	0.088	0.149	0.232
ASV_136	-0.255	10.939	0.504380359482267	0.700063155825761	NotSig	0.101	0.122	0.122	0.056	0.082	0.098	0.159	0.088	0.165	0.162	0.075	0.072	0.141	0.12
ASV_141	0.436	10.997	0.507972655751619	0.700063155825761	NotSig	0.13	0.102	0.087	0.032	0.335	0.068	0.181	0.08	0.016	0.046	0.05	0.144	0.251	0.104
ASV_64	0.167	11.966	0.514037849893432	0.701791787437486	NotSig	0.258	0.235	0.279	0.248	0.253	0.31	0.21	0.247	0.181	0.254	0.266	0.199	0.22	0.288
ASV_100	-0.316	11.273	0.51778540414595	0.701791787437486	NotSig	0.131	0.165	0.192	0.272	0.03	0.045	0.072	0.175	0.15	0.092	0.232	0.128	0.173	0.216
ASV_81	0.26	11.509	0.557691481877344	0.743988922190206	NotSig	0.187	0.163	0.245	0.12	0.141	0.204	0.326	0.088	0.142	0.054	0.34	0.16	0.141	0.144
ASV_79	0.257	11.951	0.562457205630722	0.743988922190206	NotSig	0.264	0.221	0.306	0.128	0.097	0.257	0.312	0.485	0.236	0.431	0.141	0.167	0.173	0.176
ASV_11	-0.138	14.037	0.562528209460887	0.743988922190206	NotSig	1.02	1.15	0.9	1.127	0.736	0.969	1.355	1.035	1.087	1.333	1.452	1.117	0.8	1.112
ASV_83	0.596	11.85	0.573886874262317	0.751388045033872	NotSig	0.275	0.179	0.166	0.352	0.141	0	0.022	0.971	0.567	0	0.108	0.183	0.078	0.136
ASV_118	0.19	11.444	0.577285937038219	0.751388045033872	NotSig	0.174	0.158	0.183	0.136	0.208	0.159	0.275	0.08	0.118	0.139	0.174	0.183	0.18	0.152
ASV_33	0.159	12.878	0.593754647336741	0.766738284749808	NotSig	0.499	0.454	0.559	0.28	0.327	0.507	0.565	0.756	0.465	0.578	0.523	0.375	0.361	0.424
ASV_126	0.321	11.18	0.6097788662023	0.781279172321697	NotSig	0.15	0.122	0.044	0.352	0.201	0.22	0.022	0.064	0.087	0.231	0.133	0.064	0.039	0.176
ASV_63	-0.254	10.711	0.618453812612791	0.786251358670525	NotSig	0.084	0.103	0.096	0.064	0.067	0.053	0.123	0.103	0.087	0.046	0.017	0.096	0.235	0.136
ASV_9	-0.149	14.326	0.633506470111418	0.797647017020409	NotSig	1.257	1.41	1.022	2.182	0.967	1.226	0.674	1.472	1.489	0.87	1.187	1.236	2.054	1.624
ASV_19	0.253	13.416	0.638527618701525	0.797647017020409	NotSig	0.764	0.652	0.734	1.95	0.312	0.431	0.348	0.812	0.938	0.27	1.552	0.287	0.392	0.472
ASV_91	-0.318	11.596	0.642008574674964	0.797647017020409	NotSig	0.168	0.208	0.07	0.288	0.007	0.401	0.029	0.215	0.165	0.408	0.149	0.295	0.118	0.112
ASV_106	-0.255	11.67	0.657330772356745	0.805416878450963	NotSig	0.175	0.214	0.026	0.072	0.171	0.333	0.369	0.08	0.236	0.401	0.158	0.215	0.165	0.112
ASV_165	-0.205	10.657	0.658084522636763	0.805416878450963	NotSig	0.083	0.098	0.105	0.072	0.126	0.061	0.036	0.096	0.039	0.123	0.141	0.12	0.024	0.144
ASV_39	0.169	12.804	0.669839858187602	0.813731383279753	NotSig	0.469	0.432	0.314	0.671	0.714	0.28	0.5	0.334	0.315	0.601	0.481	0.574	0.133	0.488
ASV_31	0.158	13.167	0.684537154971749	0.825471275112991	NotSig	0.602	0.556	0.358	0.28	0.93	0.56	0.898	0.589	0.457	0.639	0.274	0.526	0.878	0.56
