OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_650	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Unassigned	Unassigned
ASV_707	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned
ASV_718	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_771	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Unassigned	Unassigned
ASV_790	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Unassigned	Unassigned	Unassigned
ASV_858	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_896	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_1143	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_1164	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned
ASV_1263	Bacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_1275	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned
ASV_1287	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_525	Bacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_543	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_560	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_578	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Unassigned	Unassigned
ASV_602	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Unassigned	Unassigned	Unassigned
ASV_628	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Rhizocola	Unassigned
ASV_644	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus	Unassigned
ASV_647	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned
ASV_666	Bacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_669	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned
ASV_726	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Unassigned	Unassigned
ASV_791	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Unassigned
ASV_887	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Unassigned	Unassigned	Unassigned
ASV_1081	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned
ASV_1232	Bacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_1262	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned
ASV_1265	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Unassigned	Unassigned	Unassigned
ASV_1367	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Unassigned
ASV_477	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_512	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_544	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_551	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Unassigned	Unassigned
ASV_585	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
