"ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean","Label"
"ASV_235","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00100966795156302,"ASV_235"
"ASV_782","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000945180906437483,"ASV_782"
"ASV_521","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Desertibacter","Desertibacter_roseus",0.000938926796828234,"ASV_521"
"ASV_324","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned",0.00093248463529943,"ASV_324"
"ASV_279","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Povalibacter","Povalibacter_uvarum",0.000917475101189472,"ASV_279"
"ASV_149","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00240450509360512,"ASV_149"
"ASV_277","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned",0.00139968067339353,"ASV_277"
"ASV_189","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned",0.00139628398469322,"ASV_189"
"ASV_19","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Telmatobacter","Telmatobacter_bradus",0.00136908244467078,"ASV_19"
"ASV_32","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Unassigned",0.00135425955934809,"ASV_32"
"ASV_370","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned",0.00121038116344284,"ASV_370"
"ASV_3","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_soli",0.00119958520317965,"ASV_3"
"ASV_735","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00107210644657009,"ASV_735"
"ASV_513","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00119282917426208,"ASV_513"
"ASV_142","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","Arenimonas_daechungensis",0.000947926849711689,"ASV_142"
"ASV_878","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned",0.000823634956853443,"ASV_878"
"ASV_1489","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000791620890611548,"ASV_1489"
"ASV_101","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned",0.00170405138077501,"ASV_101"
"ASV_11","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned",0.011442457517323,"ASV_11"
"ASV_46","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned",0.0013688954493272,"ASV_46"
"ASV_1","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned",0.0100002257740566,"ASV_1"
"ASV_7","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassigned","Unassigned",0.00577883652100037,"ASV_7"
"ASV_75","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned",0.00353129436137744,"ASV_75"
