"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_581",-16.8188902984798,10.7150704478649,"bac_ASV_581","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinomadura","Unassigned","bac",4,0.219321148825065,185.700858143719,4
"bac_ASV_587",7.34178271540663,-28.2680606088528,"bac_ASV_587","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned","bac",1,0.149466192170818,0,1
"bac_ASV_589",-6.53893050516026,-20.7200715535874,"bac_ASV_589","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Unassigned","Unassigned","bac",2,0.224598930481283,271.699539548579,2
"bac_ASV_59",-26.4918318866664,-0.428369717769113,"bac_ASV_59","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Telmatobacter","Telmatobacter_bradus","bac",5,0.181621621621622,3890.57277604498,5
"bac_ASV_596",26.2049686480382,-26.9743026515551,"bac_ASV_596","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_599",-8.97297572995459,-15.983933890378,"bac_ASV_599","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","Skermanella_xinjiangensis","bac",2,0.212121212121212,186.232353520291,2
"bac_ASV_6",-11.008900897043,-27.049056219881,"bac_ASV_6","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassigned","Unassigned","bac",3,0.201680672268908,555.36922501102,3
"bac_ASV_60",12.9900950714714,-30.9408251773029,"bac_ASV_60","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium_resinovorum","bac",2,0.545454545454545,8,2
"bac_ASV_608",-25.2989589263761,18.5367209141791,"bac_ASV_608","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Unassigned","Unassigned","bac",5,0.214285714285714,81.2339238413358,5
"bac_ASV_609",-22.8588466307681,33.9960905247893,"bac_ASV_609","bac","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Latescibacteria_genera_incertae_sedis","Unassigned","bac",0,0,0,0
